NOME;SIG_PARTIDO;UF;CARGO;CONDENADO
JOSÉ JANENE;PP;PR;DEPUTADO;FALSE
PEDRO CORRÊA  ;PP;PE;DEPUTADO;TRUE
PEDRO HENRY;PP;MT;DEPUTADO;TRUE
SANDRO MABEL;PL;GO;DEPUTADO;FALSE
JOÃO MAGNO;PT;MG;DEPUTADO;FALSE
JOÃO PAULO CUNHA;PT;SP;DEPUTADO;TRUE
JOSÉ BORBA;PMDB;PR;DEPUTADO;TRUE
JOSIAS GOMES DA SILVA;PT;BA;DEPUTADO;FALSE
PAULO ROCHA;PT;BA;DEPUTADO;FALSE
PROFESSOR LUIZINHO;PT;SP;DEPUTADO;FALSE
ROMEU QUEIROZ;PTB;MG;DEPUTADO;TRUE
VADÃO GOMES ;PP;SP;DEPUTADO;FALSE
VANDERVAL SANTOS;PL;SP;DEPUTADO;FALSE
JOSÉ MENTOR;PT;SP;DEPUTADO;FALSE
ROBERTO BRANT;PFL;MG;DEPUTADO;FALSE
JOSÉ DIRCEU;PT;SP;DEPUTADO;TRUE
ROBERTO JEFFERSON;PTB;RJ;DEPUTADO;TRUE
JOSÉ GENOÍNO;PT;SP;DEPUTADO;TRUE
VALDEMAR COSTA NETO;PR;SP;DEPUTADO;TRUE
BISPO RODRIGUES;PL;RJ;DEPUTADO;TRUE
